timestamp,location_id,intersection_id,day_of_week,is_peak,is_holiday,vehicle_count,car_count,bus_count,truck_count,motorcycle_count,pedestrian_count,avg_speed_kmph,occupancy_percent,queue_length_m,signal_phase,signal_phase_duration_sec,travel_time_sec,incident_flag,weather,avg_wait_time_sec,road_capacity_veh_per_hour,incident_type
2023-01-01 07:00:00,DELHI,D00102,Sunday,0,0,68,44,4,4,13,2,34.1,32.6,33,Red,54,192,0,HeavyRain,8,2085,None
2023-01-01 07:15:00,DELHI,D00102,Sunday,0,0,37,24,2,2,7,8,35.6,22.0,17,Green,47,174,0,HeavyRain,4,2085,None
2023-01-01 07:30:00,DELHI,D00102,Sunday,0,0,39,25,2,2,7,14,31.2,34.400000000000006,43,Red,63,175,0,Clear,10,2085,None
2023-01-01 07:45:00,DELHI,D00102,Sunday,0,0,59,38,3,4,11,23,38.8,38.400000000000006,58,Red,40,165,0,LightRain,15,2085,None
2023-01-01 09:00:00,DELHI,D00102,Sunday,0,0,86,55,5,6,17,9,39.6,50.0,30,Yellow,5,184,0,Clear,8,2085,None
2023-01-01 09:15:00,DELHI,D00102,Sunday,0,0,57,37,3,3,11,9,28.8,50.800000000000004,66,Red,48,210,0,Fog,16,2085,None
2023-01-01 09:30:00,DELHI,D00102,Sunday,0,0,65,42,3,4,13,18,38.9,44.800000000000004,46,Green,58,148,0,Fog,9,2085,None
2023-01-01 09:45:00,DELHI,D00102,Sunday,0,0,84,54,5,5,16,6,29.9,41.0,40,Yellow,6,207,0,Fog,10,2085,None
2023-01-01 12:00:00,DELHI,D00102,Sunday,0,0,62,40,3,4,12,13,36.4,42.0,37,Yellow,5,191,0,Fog,10,2085,None
2023-01-01 12:15:00,DELHI,D00102,Sunday,0,0,63,40,3,4,12,2,34.3,45.2,40,Green,53,181,0,HeavyRain,9,2085,None
2023-01-01 12:30:00,DELHI,D00102,Sunday,0,0,76,49,4,5,15,13,34.5,40.4,42,Yellow,7,168,0,Clear,9,2085,None
2023-01-01 12:45:00,DELHI,D00102,Sunday,0,0,73,47,4,5,14,18,29.7,55.6,66,Yellow,9,201,0,Fog,17,2085,None
2023-01-01 17:00:00,DELHI,D00102,Sunday,0,0,68,44,4,4,13,7,40.0,25.200000000000003,22,Green,50,158,0,Clear,5,2085,None
2023-01-01 17:15:00,DELHI,D00102,Sunday,0,0,54,35,3,3,10,7,30.5,55.0,43,Red,51,242,0,Clear,10,2085,None
2023-01-01 17:30:00,DELHI,D00102,Sunday,0,0,58,37,3,4,11,25,32.8,48.800000000000004,62,Yellow,5,175,0,HeavyRain,15,2085,None
2023-01-01 17:45:00,DELHI,D00102,Sunday,0,0,55,35,3,3,11,21,43.9,23.800000000000004,3,Yellow,10,137,0,Clear,0,2085,None
2023-01-01 20:00:00,DELHI,D00102,Sunday,0,0,33,21,1,2,6,12,16.5,85.60000000000001,105,Red,56,432,1,Clear,59,2085,VehicleBreakdown
2023-01-01 20:15:00,DELHI,D00102,Sunday,0,0,95,61,5,6,19,6,26.2,54.800000000000004,48,Yellow,10,233,0,Clear,9,2085,None
2023-01-01 20:30:00,DELHI,D00102,Sunday,0,0,43,27,2,3,8,6,26.7,54.2,62,Red,62,254,0,Clear,17,2085,None
2023-01-01 20:45:00,DELHI,D00102,Sunday,0,0,79,51,4,5,15,20,35.4,45.2,63,Yellow,8,171,0,LightRain,18,2085,None
2023-01-01 07:00:00,MUMBAI,M00203,Sunday,0,0,32,20,1,2,6,19,13.6,40.400000000000006,56,Green,48,399,1,Clear,27,1750,RoadWork
2023-01-01 07:15:00,MUMBAI,M00203,Sunday,0,0,38,24,2,2,7,19,39.6,56.400000000000006,64,Yellow,6,171,0,LightRain,18,1750,None
2023-01-01 07:30:00,MUMBAI,M00203,Sunday,0,0,47,30,2,3,9,13,32.0,14.0,7,Green,42,153,0,Fog,1,1750,None
2023-01-01 07:45:00,MUMBAI,M00203,Sunday,0,0,82,53,4,5,16,4,34.2,30.6,16,Green,48,168,0,LightRain,3,1750,None
2023-01-01 09:00:00,MUMBAI,M00203,Sunday,0,0,84,54,5,5,16,25,41.0,54.2,50,Yellow,6,149,0,Fog,10,1750,None
2023-01-01 09:15:00,MUMBAI,M00203,Sunday,0,0,40,26,2,2,8,8,35.4,42.0,44,Red,48,175,0,Cloudy,9,1750,None
2023-01-01 09:30:00,MUMBAI,M00203,Sunday,0,0,101,65,6,7,20,16,26.7,31.0,33,Red,85,186,0,Fog,8,1750,None
2023-01-01 09:45:00,MUMBAI,M00203,Sunday,0,0,70,45,4,4,14,14,27.1,26.800000000000004,31,Yellow,5,199,0,Clear,8,1750,None
2023-01-01 12:00:00,MUMBAI,M00203,Sunday,0,0,51,33,3,3,10,2,43.2,51.0,37,Yellow,5,176,0,Clear,7,1750,None
2023-01-01 12:15:00,MUMBAI,M00203,Sunday,0,0,54,35,3,3,10,19,29.1,44.800000000000004,63,Yellow,10,209,0,Clear,15,1750,None
2023-01-01 12:30:00,MUMBAI,M00203,Sunday,0,0,61,39,3,4,12,22,31.2,39.6,22,Yellow,8,185,0,Clear,6,1750,None
2023-01-01 12:45:00,MUMBAI,M00203,Sunday,0,0,75,48,4,5,15,11,29.8,43.800000000000004,45,Green,32,213,0,Cloudy,12,1750,None
2023-01-01 17:00:00,MUMBAI,M00203,Sunday,0,0,67,43,4,4,13,25,25.3,46.6,53,Yellow,6,267,0,Cloudy,15,1750,None
2023-01-01 17:15:00,MUMBAI,M00203,Sunday,0,0,86,55,5,6,17,15,35.6,48.800000000000004,29,Red,55,205,0,Fog,7,1750,None
2023-01-01 17:30:00,MUMBAI,M00203,Sunday,0,0,109,70,6,7,21,19,27.6,34.6,28,Red,46,192,0,Fog,7,1750,None
2023-01-01 17:45:00,MUMBAI,M00203,Sunday,0,0,101,65,6,7,20,23,36.7,58.800000000000004,38,Green,35,169,0,Cloudy,8,1750,None
2023-01-01 20:00:00,MUMBAI,M00203,Sunday,0,0,49,31,2,3,9,11,28.8,34.8,49,Yellow,9,195,0,Clear,13,1750,None
2023-01-01 20:15:00,MUMBAI,M00203,Sunday,0,0,95,61,5,6,19,15,29.2,58.800000000000004,39,Green,42,242,0,Clear,8,1750,None
2023-01-01 20:30:00,MUMBAI,M00203,Sunday,0,0,49,31,2,3,9,5,34.6,46.400000000000006,64,Green,44,192,0,Clear,16,1750,None
2023-01-01 20:45:00,MUMBAI,M00203,Sunday,0,0,60,39,3,4,12,3,31.6,28.800000000000004,19,Green,47,176,0,HeavyRain,5,1750,None
2023-01-01 07:00:00,BANGALORE,B00303,Sunday,0,0,74,48,4,5,14,6,31.9,16.400000000000002,29,Red,40,172,0,Clear,7,1863,None
2023-01-01 07:15:00,BANGALORE,B00303,Sunday,0,0,86,55,5,6,17,12,39.8,26.6,13,Green,32,146,0,Clear,3,1863,None
2023-01-01 07:30:00,BANGALORE,B00303,Sunday,0,0,115,74,6,8,23,14,32.9,44.800000000000004,46,Red,75,207,0,Clear,10,1863,None
2023-01-01 07:45:00,BANGALORE,B00303,Sunday,0,0,49,31,2,3,9,4,27.3,17.8,2,Red,78,168,0,Fog,0,1863,None
2023-01-01 09:00:00,BANGALORE,B00303,Sunday,0,0,112,72,6,7,22,11,25.2,35.6,21,Yellow,7,215,0,Cloudy,5,1863,None
2023-01-01 09:15:00,BANGALORE,B00303,Sunday,0,0,79,51,4,5,15,6,18.5,37.6,51,Green,55,325,1,Clear,23,1863,Accident
2023-01-01 09:30:00,BANGALORE,B00303,Sunday,0,0,54,35,3,3,10,12,29.4,25.6,20,Green,55,182,0,Clear,5,1863,None
2023-01-01 09:45:00,BANGALORE,B00303,Sunday,0,0,42,27,2,2,8,21,23.1,35.6,30,Green,52,253,0,Fog,8,1863,None
2023-01-01 12:00:00,BANGALORE,B00303,Sunday,0,0,86,55,5,6,17,13,27.4,31.6,44,Red,72,218,0,LightRain,10,1863,None
2023-01-01 12:15:00,BANGALORE,B00303,Sunday,0,0,117,76,7,8,23,24,39.5,56.0,50,Red,48,158,0,LightRain,11,1863,None
2023-01-01 12:30:00,BANGALORE,B00303,Sunday,0,0,55,35,3,3,11,14,25.1,33.0,50,Green,54,237,0,Fog,14,1863,None
2023-01-01 12:45:00,BANGALORE,B00303,Sunday,0,0,102,66,6,7,20,3,38.8,38.2,23,Yellow,6,182,0,Clear,5,1863,None
2023-01-01 17:00:00,BANGALORE,B00303,Sunday,0,0,68,44,4,4,13,20,13.3,91.0,93,Yellow,9,542,1,LightRain,50,1863,Accident
2023-01-01 17:15:00,BANGALORE,B00303,Sunday,0,0,39,25,2,2,7,20,26.7,53.0,39,Yellow,5,223,0,Fog,8,1863,None
2023-01-01 17:30:00,BANGALORE,B00303,Sunday,0,0,76,49,4,5,15,10,37.7,34.0,46,Yellow,5,167,0,LightRain,13,1863,None
2023-01-01 17:45:00,BANGALORE,B00303,Sunday,0,0,103,66,6,7,20,24,41.8,34.2,15,Green,31,151,0,Fog,3,1863,None
2023-01-01 20:00:00,BANGALORE,B00303,Sunday,0,0,39,25,2,2,7,19,29.2,31.6,17,Red,47,195,0,HeavyRain,3,1863,None
2023-01-01 20:15:00,BANGALORE,B00303,Sunday,0,0,78,50,4,5,15,2,27.7,55.6,52,Green,58,232,0,Cloudy,11,1863,None
2023-01-01 20:30:00,BANGALORE,B00303,Sunday,0,0,72,46,4,5,14,16,32.0,62.400000000000006,82,Green,40,205,0,LightRain,17,1863,None
2023-01-01 20:45:00,BANGALORE,B00303,Sunday,0,0,49,31,2,3,9,23,31.6,50.0,48,Yellow,6,187,0,Clear,11,1863,None
2023-01-01 07:00:00,CHENNAI,C00401,Sunday,0,0,85,55,5,5,17,18,32.2,24.0,8,Red,52,165,0,Cloudy,1,1796,None
2023-01-01 07:15:00,CHENNAI,C00401,Sunday,0,0,67,43,4,4,13,18,38.2,39.800000000000004,35,Yellow,8,155,0,Clear,8,1796,None
2023-01-01 07:30:00,CHENNAI,C00401,Sunday,0,0,80,52,4,5,16,9,33.1,20.400000000000002,35,Yellow,10,163,0,Clear,7,1796,None
2023-01-01 07:45:00,CHENNAI,C00401,Sunday,0,0,50,32,3,3,10,25,26.9,25.0,14,Green,48,216,0,Fog,3,1796,None
2023-01-01 09:00:00,CHENNAI,C00401,Sunday,0,0,87,56,5,6,17,13,32.8,50.2,38,Yellow,10,189,0,Fog,10,1796,None
2023-01-01 09:15:00,CHENNAI,C00401,Sunday,0,0,40,26,2,2,8,2,36.0,27.200000000000003,7,Red,50,161,0,Fog,1,1796,None
2023-01-01 09:30:00,CHENNAI,C00401,Sunday,0,0,46,29,2,3,9,4,37.6,42.2,32,Green,36,195,0,Clear,7,1796,None
2023-01-01 09:45:00,CHENNAI,C00401,Sunday,0,0,90,58,5,6,18,13,39.9,37.800000000000004,36,Yellow,9,138,0,Cloudy,7,1796,None
2023-01-01 12:00:00,CHENNAI,C00401,Sunday,0,0,78,50,4,5,15,21,38.2,38.6,46,Yellow,5,183,0,Fog,10,1796,None
2023-01-01 12:15:00,CHENNAI,C00401,Sunday,0,0,88,57,5,6,17,10,38.6,42.6,44,Red,84,172,0,HeavyRain,12,1796,None
2023-01-01 12:30:00,CHENNAI,C00401,Sunday,0,0,81,52,4,5,16,25,29.4,21.6,14,Yellow,7,167,0,HeavyRain,3,1796,None
2023-01-01 12:45:00,CHENNAI,C00401,Sunday,0,0,73,47,4,5,14,6,30.7,27.6,37,Red,47,189,0,HeavyRain,9,1796,None
2023-01-01 17:00:00,CHENNAI,C00401,Sunday,0,0,63,40,3,4,12,13,34.6,34.6,26,Red,82,168,0,Clear,5,1796,None
2023-01-01 17:15:00,CHENNAI,C00401,Sunday,0,0,63,40,3,4,12,5,28.2,37.0,17,Red,62,196,0,Clear,4,1796,None
2023-01-01 17:30:00,CHENNAI,C00401,Sunday,0,0,42,27,2,2,8,6,31.9,32.2,19,Green,35,160,0,Clear,4,1796,None
2023-01-01 17:45:00,CHENNAI,C00401,Sunday,0,0,87,56,5,6,17,14,38.4,37.6,34,Green,41,188,0,Clear,8,1796,None
2023-01-01 20:00:00,CHENNAI,C00401,Sunday,0,0,49,31,2,3,9,25,22.7,41.6,33,Yellow,8,264,0,Clear,7,1796,None
2023-01-01 20:15:00,CHENNAI,C00401,Sunday,0,0,85,55,5,5,17,19,31.3,45.2,46,Yellow,8,187,0,Clear,12,1796,None
2023-01-01 20:30:00,CHENNAI,C00401,Sunday,0,0,35,22,2,2,7,23,27.5,51.400000000000006,44,Yellow,8,248,0,LightRain,10,1796,None
2023-01-01 20:45:00,CHENNAI,C00401,Sunday,0,0,73,47,4,5,14,2,32.2,51.400000000000006,71,Red,57,205,0,Clear,19,1796,None
2023-01-01 07:00:00,KOLKATA,K00501,Sunday,0,0,74,48,4,5,14,16,28.5,34.800000000000004,24,Green,40,184,0,Fog,5,1367,None
2023-01-01 07:15:00,KOLKATA,K00501,Sunday,0,0,39,25,2,2,7,21,27.6,35.2,24,Red,43,197,0,Clear,6,1367,None
2023-01-01 07:30:00,KOLKATA,K00501,Sunday,0,0,100,65,6,7,20,5,34.7,36.2,21,Yellow,8,154,0,Clear,4,1367,None
2023-01-01 07:45:00,KOLKATA,K00501,Sunday,0,0,74,48,4,5,14,23,32.6,35.6,27,Yellow,6,187,0,Clear,6,1367,None
2023-01-01 09:00:00,KOLKATA,K00501,Sunday,0,0,66,42,3,4,13,3,34.1,44.6,60,Green,56,164,0,HeavyRain,12,1367,None
2023-01-01 09:15:00,KOLKATA,K00501,Sunday,0,0,50,32,3,3,10,14,38.1,25.400000000000002,7,Yellow,8,163,0,LightRain,1,1367,None
2023-01-01 09:30:00,KOLKATA,K00501,Sunday,0,0,47,30,2,3,9,21,43.5,21.6,3,Red,45,143,0,Clear,0,1367,None
2023-01-01 09:45:00,KOLKATA,K00501,Sunday,0,0,93,60,5,6,18,16,25.8,57.0,68,Green,37,275,0,Fog,13,1367,None
2023-01-01 12:00:00,KOLKATA,K00501,Sunday,0,0,51,33,3,3,10,24,30.4,37.2,23,Red,74,178,0,Clear,6,1367,None
